Gene,NCTId,Overall_Status,Conditions,Phase,Phase_Score,Status_Score,Cancer_Score,Modality_Score,Total_Score,EARLY_PHASE1,N/A,NA,PHASE1,PHASE2,PHASE3,PHASE4
PAQR7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASEH2B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRMT61B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYSM1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP2A1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NR2C2AP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARP8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXO22,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BZW1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCAP31,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAG1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PISD,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RFXANK,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMER2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFITM3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFYVE28,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BROX,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFAND2A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC9A1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2L2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL11,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPNT1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUDT13,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL34,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIX1L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNA15,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL11RA,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC10A7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXB4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADARB1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTP6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFB1M,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMJD1C,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCTD10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS16,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIF3C,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM178B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPA,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIKFYVE,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSH3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNAI2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL13,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPF,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLXIP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEX261,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF398,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC13,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMEZ,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBE1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFF4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WDR33,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FXYD6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF507,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS19,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASSF5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERE,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTRF1L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLHL12,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDE2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FERMT3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTF2E2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF346,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXL8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXO2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZC3H18,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPN3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCNT2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEX11A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF202,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQGAP3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPD52L2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOMO2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCP2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCAF8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOCS3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RINT1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTRAP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM165,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF212,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRBP2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf43,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMCES,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM45,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAF6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMD10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEX4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLG1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLHL6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR153,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAA25,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZA1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAF5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECTD3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTCD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPRL2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRCIN1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARN,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCLK2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIFC1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBPF10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYBP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABPB1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZSWIM4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC26A6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRIQ3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARD3B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQCG,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASC3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA0,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRRF,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COASY,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRMT7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASGEF1B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCN1B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM27,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECAB3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRMT112,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSN-AS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIM38,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCHS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCOCO2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD99L2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEDD,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XPO4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF682,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYLK-AS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNPC3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF646,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIGV,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPH1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMDC,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDE8B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXC10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2D,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLII,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS21,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF34,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POP7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIMM23,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLIT2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPUSD2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF852,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF605,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRAM1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL6IP1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRN1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG9,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATXN7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPM1A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF345,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCAF12,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMIZ1-AS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NRDE2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNBP1L,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF546,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHX33,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTN2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIP2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBA2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DYRK2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDT1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBBP8,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGAP3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEKHG5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENPO,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCMT2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISYNA1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFAND3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLA2G15,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRBP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF747,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLGALT2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLA2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHACTR2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNOT1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM9B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRK2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEL1L3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQSEC2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORF4L1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COPS6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNDC3B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIGD5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB45,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB41L4A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK11B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWT1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZKSCAN4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF350,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STXBP4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYBRD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD13A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2RY11,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM133B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMC4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC12A2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMARCD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRMD4B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3D19,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EHMT2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF772,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASP7,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWWP2B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBGCP5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTMR10,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RENBP,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSRP2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMILIN2,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCTD21,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1R9A,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIN7C,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPCS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF766,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBEA,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM41B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAZ2B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLCE,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FZD6,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF154,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFAP2E,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAPSS1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS16,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP9,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TDRD3,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCKAP5,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASD1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM9SF4,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RABAC1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VRK1,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF144B,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL49,,N/A,N/A,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
